Region_Code,Year,Total_Crimes,Crime_Rate,Region_Name
GM0000,2010,2400.0,0.0,Gemeenten; niet in te delen
GM0000,2011,2130.0,0.0,Gemeenten; niet in te delen
GM0000,2012,1720.0,0.0,Gemeenten; niet in te delen
GM0000,2013,1380.0,0.0,Gemeenten; niet in te delen
GM0000,2014,1420.0,0.0,Gemeenten; niet in te delen
GM0000,2015,1665.0,0.0,Gemeenten; niet in te delen
GM0000,2016,1135.0,0.0,Gemeenten; niet in te delen
GM0000,2017,1640.0,0.0,Gemeenten; niet in te delen
GM0000,2018,1720.0,0.0,Gemeenten; niet in te delen
GM0000,2019,1920.0,0.0,Gemeenten; niet in te delen
GM0000,2020,935.0,0.0,Gemeenten; niet in te delen
GM0000,2021,700.0,0.0,Gemeenten; niet in te delen
GM0000,2022,725.0,0.0,Gemeenten; niet in te delen
GM0000,2023,865.0,0.0,Gemeenten; niet in te delen
GM0000,2024,615.0,0.0,Gemeenten; niet in te delen
GM0003,2010,600.0,50.0,Appingedam
GM0003,2011,665.0,54.8,Appingedam
GM0003,2012,535.0,44.5,Appingedam
GM0003,2013,510.0,42.1,Appingedam
GM0003,2014,500.0,41.3,Appingedam
GM0003,2015,445.0,37.0,Appingedam
GM0003,2016,475.0,39.7,Appingedam
GM0003,2017,415.0,34.5,Appingedam
GM0003,2018,430.0,36.4,Appingedam
GM0003,2019,495.0,42.2,Appingedam
GM0003,2020,470.0,40.3,Appingedam
GM0003,2021,0.0,0.0,Appingedam
GM0003,2022,0.0,0.0,Appingedam
GM0003,2023,0.0,0.0,Appingedam
GM0003,2024,0.0,0.0,Appingedam
GM0005,2010,330.0,31.4,Bedum
GM0005,2011,370.0,35.1,Bedum
GM0005,2012,300.0,28.7,Bedum
GM0005,2013,230.0,22.0,Bedum
GM0005,2014,265.0,25.1,Bedum
GM0005,2015,255.0,24.6,Bedum
GM0005,2016,200.0,19.1,Bedum
GM0005,2017,175.0,16.6,Bedum
GM0005,2018,155.0,14.6,Bedum
GM0005,2019,0.0,0.0,Bedum
GM0005,2020,0.0,0.0,Bedum
GM0005,2021,0.0,0.0,Bedum
GM0005,2022,0.0,0.0,Bedum
GM0005,2023,0.0,0.0,Bedum
GM0005,2024,0.0,0.0,Bedum
GM0007,2010,330.0,35.5,Bellingwedde
GM0007,2011,300.0,31.7,Bellingwedde
GM0007,2012,275.0,29.7,Bellingwedde
GM0007,2013,265.0,29.4,Bellingwedde
GM0007,2014,225.0,25.0,Bellingwedde
GM0007,2015,220.0,23.8,Bellingwedde
GM0007,2016,205.0,23.0,Bellingwedde
GM0007,2017,220.0,24.7,Bellingwedde
GM0007,2018,0.0,0.0,Bellingwedde
GM0007,2019,0.0,0.0,Bellingwedde
GM0007,2020,0.0,0.0,Bellingwedde
GM0007,2021,0.0,0.0,Bellingwedde
GM0007,2022,0.0,0.0,Bellingwedde
GM0007,2023,0.0,0.0,Bellingwedde
GM0007,2024,0.0,0.0,Bellingwedde
GM0009,2010,190.0,25.4,Ten Boer
GM0009,2011,185.0,25.1,Ten Boer
GM0009,2012,190.0,25.3,Ten Boer
GM0009,2013,165.0,21.7,Ten Boer
GM0009,2014,155.0,20.5,Ten Boer
GM0009,2015,140.0,18.5,Ten Boer
GM0009,2016,155.0,21.4,Ten Boer
GM0009,2017,125.0,16.9,Ten Boer
GM0009,2018,110.0,15.1,Ten Boer
GM0009,2019,0.0,0.0,Ten Boer
GM0009,2020,0.0,0.0,Ten Boer
GM0009,2021,0.0,0.0,Ten Boer
