Region_Name,Region_Code,Party,Votes,Year,Seats,Vote_Share
's-Gravenhage,GM0518,Partij van de Arbeid (P.v.d.A.),63042,2010,29.0,23.809020250621266
's-Gravenhage,GM0518,VVD,59925,2010,30.0,22.63182542619967
's-Gravenhage,GM0518,PVV (Partij voor de Vrijheid),43725,2010,23.0,16.513584760293373
's-Gravenhage,GM0518,Democraten 66 (D66),28075,2010,10.0,10.603062141686369
's-Gravenhage,GM0518,GROENLINKS,22687,2010,10.0,8.568180616507165
's-Gravenhage,GM0518,Christen Democratisch Appèl (CDA),18710,2010,20.0,7.066190299944861
's-Gravenhage,GM0518,SP (Socialistische Partij),18234,2010,14.0,6.88641977173675
's-Gravenhage,GM0518,Partij voor de Dieren,4901,2010,1.0,1.8509566360251073
's-Gravenhage,GM0518,ChristenUnie,4429,2010,4.0,1.6726967845246279
's-Gravenhage,GM0518,Staatkundig Gereformeerde Partij (SGP),1054,2010,2.0,0.39806331246081683
's-Hertogenbosch,GM0796,VVD,16720,2010,30.0,20.962100221907402
's-Hertogenbosch,GM0796,Partij van de Arbeid (P.v.d.A.),15401,2010,29.0,19.308451286937554
's-Hertogenbosch,GM0796,PVV (Partij voor de Vrijheid),14356,2010,23.0,17.99832002306834
's-Hertogenbosch,GM0796,SP (Socialistische Partij),10209,2010,14.0,12.79916753381894
's-Hertogenbosch,GM0796,Christen Democratisch Appèl (CDA),8228,2010,20.0,10.315559846043906
's-Hertogenbosch,GM0796,Democraten 66 (D66),6761,2010,10.0,8.476361220114589
's-Hertogenbosch,GM0796,GROENLINKS,6364,2010,10.0,7.978636711257099
's-Hertogenbosch,GM0796,Partij voor de Dieren,1053,2010,1.0,1.3201609768940485
's-Hertogenbosch,GM0796,ChristenUnie,620,2010,4.0,0.777302759424796
's-Hertogenbosch,GM0796,Staatkundig Gereformeerde Partij (SGP),51,2010,2.0,0.06393942053332999
Aa en Hunze,GM1680,Partij van de Arbeid (P.v.d.A.),4744,2010,29.0,29.964628600303183
Aa en Hunze,GM1680,VVD,4057,2010,30.0,25.62531581606872
Aa en Hunze,GM1680,PVV (Partij voor de Vrijheid),1608,2010,23.0,10.1566447700859
Aa en Hunze,GM1680,SP (Socialistische Partij),1491,2010,14.0,9.417635169277414
Aa en Hunze,GM1680,Christen Democratisch Appèl (CDA),1259,2010,20.0,7.952248610409297
Aa en Hunze,GM1680,GROENLINKS,1159,2010,10.0,7.320616472966145
Aa en Hunze,GM1680,Democraten 66 (D66),1040,2010,10.0,6.568974229408793
Aa en Hunze,GM1680,ChristenUnie,254,2010,4.0,1.604345629105609
Aa en Hunze,GM1680,Partij voor de Dieren,201,2010,1.0,1.2695805962607376
Aa en Hunze,GM1680,Staatkundig Gereformeerde Partij (SGP),19,2010,2.0,0.12001010611419909
Aalburg,GM0738,Staatkundig Gereformeerde Partij (SGP),1575,2010,2.0,20.734597156398106
Aalburg,GM0738,Christen Democratisch Appèl (CDA),1553,2010,20.0,20.4449710373881
Aalburg,GM0738,PVV (Partij voor de Vrijheid),1224,2010,23.0,16.113744075829384
Aalburg,GM0738,VVD,1136,2010,30.0,14.955239599789364
Aalburg,GM0738,ChristenUnie,820,2010,4.0,10.795155344918378
Aalburg,GM0738,Partij van de Arbeid (P.v.d.A.),491,2010,29.0,6.463928383359663
Aalburg,GM0738,SP (Socialistische Partij),423,2010,14.0,5.568720379146919
Aalburg,GM0738,Democraten 66 (D66),162,2010,10.0,2.132701421800948
Aalburg,GM0738,GROENLINKS,152,2010,10.0,2.0010531858873093
Aalburg,GM0738,Partij voor de Dieren,60,2010,1.0,0.7898894154818324
Aalsmeer,GM0358,VVD,6024,2010,30.0,34.86111111111111
Aalsmeer,GM0358,Christen Democratisch Appèl (CDA),2738,2010,20.0,15.844907407407408
